# id,ts,x,y,gx,gy
6.000000,0.266667,7.536742,1.074650,-1.483635,-1.355148
7.000000,0.266667,7.299979,0.269333,-1.659977,-0.255761
6.000000,0.283333,7.536755,1.074570,-1.483635,-1.355148
7.000000,0.283333,7.299956,0.269147,-1.659977,-0.255761
6.000000,0.300000,7.536771,1.074482,-1.483635,-1.355148
7.000000,0.300000,7.299927,0.268936,-1.659977,-0.255761
6.000000,0.316667,7.536788,1.074386,-1.483635,-1.355148
7.000000,0.316667,7.299890,0.268701,-1.659977,-0.255761
6.000000,0.333333,7.536808,1.074282,-1.483635,-1.355148
7.000000,0.333333,7.299846,0.268440,-1.659977,-0.255761
6.000000,0.350000,7.536830,1.074170,-1.483635,-1.355148
7.000000,0.350000,7.299794,0.268154,-1.659977,-0.255761
6.000000,0.366667,7.536853,1.074049,-1.483635,-1.355148
7.000000,0.366667,7.299734,0.267843,-1.659977,-0.255761
6.000000,0.383333,7.536879,1.073920,-1.483635,-1.355148
7.000000,0.383333,7.299667,0.267508,-1.659977,-0.255761
6.000000,0.400000,7.536907,1.073784,-1.483635,-1.355148
7.000000,0.400000,7.299594,0.267149,-1.659977,-0.255761
6.000000,0.416667,7.536937,1.073639,-1.483635,-1.355148
7.000000,0.416667,7.299514,0.266770,-1.659977,-0.255761
6.000000,0.433333,7.536968,1.073485,-1.483635,-1.355148
7.000000,0.433333,7.299429,0.266371,-1.659977,-0.255761
6.000000,0.450000,7.537001,1.073322,-1.483635,-1.355148
7.000000,0.450000,7.299339,0.265952,-1.659977,-0.255761
6.000000,0.466667,7.537035,1.073151,-1.483635,-1.355148
7.000000,0.466667,7.299242,0.265514,-1.659977,-0.255761
6.000000,0.483333,7.537071,1.072970,-1.483635,-1.355148
7.000000,0.483333,7.299139,0.265055,-1.659977,-0.255761
6.000000,0.500000,7.537107,1.072780,-1.483635,-1.355148
7.000000,0.500000,7.299028,0.264574,-1.659977,-0.255761
6.000000,0.516667,7.537144,1.072582,-1.483635,-1.355148
7.000000,0.516667,7.298910,0.264070,-1.659977,-0.255761
6.000000,0.533333,7.537183,1.072374,-1.483635,-1.355148
7.000000,0.533333,7.298786,0.263546,-1.659977,-0.255761
6.000000,0.550000,7.537222,1.072159,-1.483635,-1.355148
7.000000,0.550000,7.298654,0.263001,-1.659977,-0.255761
6.000000,0.566667,7.537262,1.071935,-1.483635,-1.355148
7.000000,0.566667,7.298517,0.262435,-1.659977,-0.255761
6.000000,0.583333,7.537303,1.071703,-1.483635,-1.355148
7.000000,0.583333,7.298373,0.261849,-1.659977,-0.255761
6.000000,0.600000,7.537344,1.071464,-1.483635,-1.355148
7.000000,0.600000,7.298222,0.261241,-1.659977,-0.255761
6.000000,0.616667,7.537386,1.071216,-1.483635,-1.355148
7.000000,0.616667,7.298064,0.260610,-1.659977,-0.255761
6.000000,0.633333,7.537428,1.070960,-1.483635,-1.355148
7.000000,0.633333,7.297899,0.259957,-1.659977,-0.255761
6.000000,0.650000,7.537471,1.070696,-1.483635,-1.355148
7.000000,0.650000,7.297727,0.259281,-1.659977,-0.255761
6.000000,0.666667,7.537513,1.070424,-1.483635,-1.355148
7.000000,0.666667,7.297548,0.258582,-1.659977,-0.255761
6.000000,0.683333,7.537556,1.070145,-1.483635,-1.355148
7.000000,0.683333,7.297362,0.257862,-1.659977,-0.255761
6.000000,0.700000,7.537600,1.069860,-1.483635,-1.355148
7.000000,0.700000,7.297171,0.257122,-1.659977,-0.255761
6.000000,0.716667,7.537644,1.069568,-1.483635,-1.355148
7.000000,0.716667,7.296974,0.256362,-1.659977,-0.255761
6.000000,0.733333,7.537688,1.069271,-1.483635,-1.355148
7.000000,0.733333,7.296771,0.255582,-1.659977,-0.255761
6.000000,0.750000,7.537734,1.068970,-1.483635,-1.355148
7.000000,0.750000,7.296563,0.254784,-1.659977,-0.255761
6.000000,0.766667,7.537779,1.068664,-1.483635,-1.355148
7.000000,0.766667,7.296350,0.253968,-1.659977,-0.255761
6.000000,0.783333,7.537825,1.068354,-1.483635,-1.355148
7.000000,0.783333,7.296131,0.253134,-1.659977,-0.255761
6.000000,0.800000,7.537871,1.068039,-1.483635,-1.355148
7.000000,0.800000,7.295906,0.252280,-1.659977,-0.255761
6.000000,0.816667,7.537917,1.067722,-1.483635,-1.355148
7.000000,0.816667,7.295673,0.251407,-1.659977,-0.255761
6.000000,0.833333,7.537962,1.067400,-1.483635,-1.355148
7.000000,0.833333,7.295434,0.250514,-1.659977,-0.255761
6.000000,0.850000,7.538007,1.067076,-1.483635,-1.355148
7.000000,0.850000,7.295186,0.249601,-1.659977,-0.255761
6.000000,0.866667,7.538050,1.066748,-1.483635,-1.355148
7.000000,0.866667,7.294931,0.248666,-1.659977,-0.255761
6.000000,0.883333,7.538092,1.066418,-1.483635,-1.355148
7.000000,0.883333,7.294667,0.247711,-1.659977,-0.255761
6.000000,0.900000,7.538133,1.066085,-1.483635,-1.355148
7.000000,0.900000,7.294396,0.246734,-1.659977,-0.255761
6.000000,0.916667,7.538173,1.065752,-1.483635,-1.355148
7.000000,0.916667,7.294117,0.245738,-1.659977,-0.255761
6.000000,0.933333,7.538211,1.065418,-1.483635,-1.355148
7.000000,0.933333,7.293832,0.244725,-1.659977,-0.255761
6.000000,0.950000,7.538248,1.065083,-1.483635,-1.355148
7.000000,0.950000,7.293542,0.243697,-1.659977,-0.255761
6.000000,0.966667,7.538284,1.064749,-1.483635,-1.355148
7.000000,0.966667,7.293246,0.242654,-1.659977,-0.255761
6.000000,0.983333,7.538319,1.064416,-1.483635,-1.355148
7.000000,0.983333,7.292945,0.241595,-1.659977,-0.255761
6.000000,1.000000,7.538352,1.064083,-1.483635,-1.355148
7.000000,1.000000,7.292637,0.240521,-1.659977,-0.255761
6.000000,1.016667,7.538384,1.063751,-1.483635,-1.355148
