# id,ts,x,y,gx,gy
8.000000,0.650000,9.220313,-8.217835,1.528332,-4.131267
7.000000,0.650000,9.928969,-6.788628,1.687696,-2.050812
6.000000,0.650000,9.727202,-7.693897,1.767192,-3.306233
-1.000000,0.650000,3.904062,-7.233590,8.954984,-5.624474
8.000000,0.666667,9.220337,-8.217880,1.528332,-4.131267
7.000000,0.666667,9.928805,-6.788638,1.687696,-2.050812
6.000000,0.666667,9.727185,-7.694074,1.767192,-3.306233
-1.000000,0.666667,3.904069,-7.233592,8.954984,-5.624474
8.000000,0.683333,9.220364,-8.217927,1.528332,-4.131267
7.000000,0.683333,9.928636,-6.788645,1.687696,-2.050812
6.000000,0.683333,9.727161,-7.694267,1.767192,-3.306233
-1.000000,0.683333,3.904076,-7.233595,8.954984,-5.624474
8.000000,0.700000,9.220392,-8.217976,1.528332,-4.131267
7.000000,0.700000,9.928461,-6.788650,1.687696,-2.050812
6.000000,0.700000,9.727132,-7.694476,1.767192,-3.306233
-1.000000,0.700000,3.904083,-7.233597,8.954984,-5.624474
8.000000,0.716667,9.220421,-8.218027,1.528332,-4.131267
7.000000,0.716667,9.928280,-6.788652,1.687696,-2.050812
6.000000,0.716667,9.727096,-7.694699,1.767192,-3.306233
-1.000000,0.716667,3.904090,-7.233600,8.954984,-5.624474
8.000000,0.733333,9.220452,-8.218080,1.528332,-4.131267
7.000000,0.733333,9.928094,-6.788651,1.687696,-2.050812
6.000000,0.733333,9.727053,-7.694939,1.767192,-3.306233
-1.000000,0.733333,3.904097,-7.233602,8.954984,-5.624474
8.000000,0.750000,9.220484,-8.218136,1.528332,-4.131267
7.000000,0.750000,9.927904,-6.788647,1.687696,-2.050812
6.000000,0.750000,9.727002,-7.695193,1.767192,-3.306233
-1.000000,0.750000,3.904105,-7.233604,8.954984,-5.624474
8.000000,0.766667,9.220518,-8.218193,1.528332,-4.131267
7.000000,0.766667,9.927708,-6.788640,1.687696,-2.050812
6.000000,0.766667,9.726945,-7.695462,1.767192,-3.306233
-1.000000,0.766667,3.904112,-7.233606,8.954984,-5.624474
8.000000,0.783333,9.220553,-8.218253,1.528332,-4.131267
7.000000,0.783333,9.927508,-6.788629,1.687696,-2.050812
6.000000,0.783333,9.726879,-7.695746,1.767192,-3.306233
-1.000000,0.783333,3.904119,-7.233609,8.954984,-5.624474
8.000000,0.800000,9.220590,-8.218316,1.528332,-4.131267
7.000000,0.800000,9.927303,-6.788614,1.687696,-2.050812
6.000000,0.800000,9.726806,-7.696044,1.767192,-3.306233
-1.000000,0.800000,3.904126,-7.233611,8.954984,-5.624474
8.000000,0.816667,9.220628,-8.218380,1.528332,-4.131267
7.000000,0.816667,9.927093,-6.788596,1.687696,-2.050812
6.000000,0.816667,9.726725,-7.696355,1.767192,-3.306233
-1.000000,0.816667,3.904134,-7.233613,8.954984,-5.624474
8.000000,0.833333,9.220668,-8.218446,1.528332,-4.131267
7.000000,0.833333,9.926879,-6.788574,1.687696,-2.050812
6.000000,0.833333,9.726635,-7.696679,1.767192,-3.306233
-1.000000,0.833333,3.904141,-7.233616,8.954984,-5.624474
8.000000,0.850000,9.220709,-8.218515,1.528332,-4.131267
7.000000,0.850000,9.926660,-6.788548,1.687696,-2.050812
6.000000,0.850000,9.726537,-7.697016,1.767192,-3.306233
-1.000000,0.850000,3.904148,-7.233618,8.954984,-5.624474
8.000000,0.866667,9.220751,-8.218586,1.528332,-4.131267
7.000000,0.866667,9.926437,-6.788518,1.687696,-2.050812
6.000000,0.866667,9.726430,-7.697364,1.767192,-3.306233
-1.000000,0.866667,3.904155,-7.233620,8.954984,-5.624474
8.000000,0.883333,9.220794,-8.218658,1.528332,-4.131267
7.000000,0.883333,9.926210,-6.788485,1.687696,-2.050812
6.000000,0.883333,9.726315,-7.697724,1.767192,-3.306233
-1.000000,0.883333,3.904163,-7.233623,8.954984,-5.624474
8.000000,0.900000,9.220839,-8.218734,1.528332,-4.131267
7.000000,0.900000,9.925978,-6.788448,1.687696,-2.050812
6.000000,0.900000,9.726190,-7.698095,1.767192,-3.306233
-1.000000,0.900000,3.904170,-7.233625,8.954984,-5.624474
8.000000,0.916667,9.220884,-8.218811,1.528332,-4.131267
7.000000,0.916667,9.925742,-6.788407,1.687696,-2.050812
6.000000,0.916667,9.726057,-7.698476,1.767192,-3.306233
-1.000000,0.916667,3.904177,-7.233627,8.954984,-5.624474
8.000000,0.933333,9.220931,-8.218890,1.528332,-4.131267
7.000000,0.933333,9.925501,-6.788362,1.687696,-2.050812
6.000000,0.933333,9.725915,-7.698865,1.767192,-3.306233
-1.000000,0.933333,3.904185,-7.233630,8.954984,-5.624474
8.000000,0.950000,9.220978,-8.218971,1.528332,-4.131267
7.000000,0.950000,9.925256,-6.788312,1.687696,-2.050812
6.000000,0.950000,9.725764,-7.699264,1.767192,-3.306233
-1.000000,0.950000,3.904192,-7.233633,8.954984,-5.624474
8.000000,0.966667,9.221027,-8.219054,1.528332,-4.131267
7.000000,0.966667,9.925007,-6.788259,1.687696,-2.050812
6.000000,0.966667,9.725605,-7.699669,1.767192,-3.306233
-1.000000,0.966667,3.904199,-7.233635,8.954984,-5.624474
8.000000,0.983333,9.221076,-8.219139,1.528332,-4.131267
