# id,ts,x,y,gx,gy
8.000000,2.216667,9.126013,-8.240855,1.544042,-4.144019
7.000000,2.216667,9.764031,-7.691065,1.837055,-3.353935
6.000000,2.216667,9.873915,-6.897548,2.119801,-2.562298
-1.000000,2.216667,3.874484,-7.227310,3.869197,-7.235771
8.000000,2.233333,9.125937,-8.240879,1.544042,-4.144019
7.000000,2.233333,9.763860,-7.691042,1.837055,-3.353935
6.000000,2.233333,9.873791,-6.897581,2.119801,-2.562298
-1.000000,2.233333,3.874484,-7.227305,3.869197,-7.235771
8.000000,2.250000,9.125859,-8.240905,1.544042,-4.144019
7.000000,2.250000,9.763683,-7.691009,1.837055,-3.353935
6.000000,2.250000,9.873662,-6.897612,2.119801,-2.562298
-1.000000,2.250000,3.874485,-7.227301,3.869197,-7.235771
8.000000,2.266667,9.125779,-8.240934,1.544042,-4.144019
7.000000,2.266667,9.763499,-7.690967,1.837055,-3.353935
6.000000,2.266667,9.873529,-6.897641,2.119801,-2.562298
-1.000000,2.266667,3.874486,-7.227296,3.869197,-7.235771
8.000000,2.283333,9.125698,-8.240966,1.544042,-4.144019
7.000000,2.283333,9.763309,-7.690914,1.837055,-3.353935
6.000000,2.283333,9.873392,-6.897669,2.119801,-2.562298
-1.000000,2.283333,3.874487,-7.227292,3.869197,-7.235771
8.000000,2.300000,9.125614,-8.241001,1.544042,-4.144019
7.000000,2.300000,9.763112,-7.690851,1.837055,-3.353935
6.000000,2.300000,9.873249,-6.897696,2.119801,-2.562298
-1.000000,2.300000,3.874488,-7.227287,3.869197,-7.235771
8.000000,2.316667,9.125528,-8.241039,1.544042,-4.144019
7.000000,2.316667,9.762909,-7.690778,1.837055,-3.353935
6.000000,2.316667,9.873100,-6.897721,2.119801,-2.562298
-1.000000,2.316667,3.874488,-7.227283,3.869197,-7.235771
8.000000,2.333333,9.125441,-8.241080,1.544042,-4.144019
7.000000,2.333333,9.762699,-7.690695,1.837055,-3.353935
6.000000,2.333333,9.872945,-6.897745,2.119801,-2.562298
-1.000000,2.333333,3.874489,-7.227279,3.869197,-7.235771
8.000000,2.350000,9.125351,-8.241124,1.544042,-4.144019
7.000000,2.350000,9.762483,-7.690602,1.837055,-3.353935
6.000000,2.350000,9.872783,-6.897768,2.119801,-2.562298
-1.000000,2.350000,3.874490,-7.227274,3.869197,-7.235771
8.000000,2.366667,9.125259,-8.241171,1.544042,-4.144019
7.000000,2.366667,9.762259,-7.690498,1.837055,-3.353935
6.000000,2.366667,9.872613,-6.897789,2.119801,-2.562298
-1.000000,2.366667,3.874492,-7.227270,3.869197,-7.235771
8.000000,2.383333,9.125166,-8.241222,1.544042,-4.144019
7.000000,2.383333,9.762029,-7.690385,1.837055,-3.353935
6.000000,2.383333,9.872435,-6.897809,2.119801,-2.562298
-1.000000,2.383333,3.874493,-7.227266,3.869197,-7.235771
8.000000,2.400000,9.125070,-8.241276,1.544042,-4.144019
7.000000,2.400000,9.761791,-7.690261,1.837055,-3.353935
6.000000,2.400000,9.872247,-6.897828,2.119801,-2.562298
-1.000000,2.400000,3.874494,-7.227262,3.869197,-7.235771
8.000000,2.416667,9.124972,-8.241333,1.544042,-4.144019
7.000000,2.416667,9.761545,-7.690128,1.837055,-3.353935
6.000000,2.416667,9.872049,-6.897847,2.119801,-2.562298
-1.000000,2.416667,3.874495,-7.227258,3.869197,-7.235771
8.000000,2.433333,9.124872,-8.241393,1.544042,-4.144019
7.000000,2.433333,9.761292,-7.689984,1.837055,-3.353935
6.000000,2.433333,9.871840,-6.897865,2.119801,-2.562298
-1.000000,2.433333,3.874496,-7.227254,3.869197,-7.235771
8.000000,2.450000,9.124770,-8.241458,1.544042,-4.144019
7.000000,2.450000,9.761030,-7.689830,1.837055,-3.353935
6.000000,2.450000,9.871622,-6.897883,2.119801,-2.562298
-1.000000,2.450000,3.874497,-7.227250,3.869197,-7.235771
8.000000,2.466667,9.124666,-8.241525,1.544042,-4.144019
7.000000,2.466667,9.760761,-7.689666,1.837055,-3.353935
6.000000,2.466667,9.871392,-6.897901,2.119801,-2.562298
-1.000000,2.466667,3.874498,-7.227247,3.869197,-7.235771
8.000000,2.483333,9.124559,-8.241597,1.544042,-4.144019
7.000000,2.483333,9.760483,-7.689493,1.837055,-3.353935
6.000000,2.483333,9.871151,-6.897919,2.119801,-2.562298
-1.000000,2.483333,3.874499,-7.227243,3.869197,-7.235771
8.000000,2.500000,9.124451,-8.241672,1.544042,-4.144019
7.000000,2.500000,9.760196,-7.689309,1.837055,-3.353935
6.000000,2.500000,9.870898,-6.897937,2.119801,-2.562298
-1.000000,2.500000,3.874499,-7.227240,3.869197,-7.235771
8.000000,2.516667,9.124340,-8.241752,1.544042,-4.144019
7.000000,2.516667,9.759900,-7.689116,1.837055,-3.353935
6.000000,2.516667,9.870635,-6.897957,2.119801,-2.562298
-1.000000,2.516667,3.874500,-7.227237,3.869197,-7.235771
8.000000,2.533333,9.124228,-8.241835,1.544042,-4.144019
7.000000,2.533333,9.759594,-7.688912,1.837055,-3.353935
6.000000,2.533333,9.870359,-6.897979,2.119801,-2.562298
-1.000000,2.533333,3.874501,-7.227234,3.869197,-7.235771
8.000000,2.550000,9.124113,-8.241924,1.544042,-4.144019
7.000000,2.550000,9.759280,-7.688699,1.837055,-3.353935
6.000000,2.550000,9.870073,-6.898002,2.119801,-2.562298
-1.000000,2.550000,3.874501,-7.227231,3.869197,-7.235771
8.000000,2.566667,9.123997,-8.242016,1.544042,-4.144019
7.000000,2.566667,9.758955,-7.688475,1.837055,-3.353935
6.000000,2.566667,9.869775,-6.898027,2.119801,-2.562298
-1.000000,2.566667,3.874502,-7.227228,3.869197,-7.235771
8.000000,2.583333,9.123878,-8.242113,1.544042,-4.144019
7.000000,2.583333,9.758621,-7.688242,1.837055,-3.353935
6.000000,2.583333,9.869466,-6.898055,2.119801,-2.562298
-1.000000,2.583333,3.874502,-7.227225,3.869197,-7.235771
8.000000,2.600000,9.123758,-8.242215,1.544042,-4.144019
7.000000,2.600000,9.758276,-7.687999,1.837055,-3.353935
6.000000,2.600000,9.869147,-6.898086,2.119801,-2.562298
-1.000000,2.600000,3.874503,-7.227222,3.869197,-7.235771
8.000000,2.616667,9.123636,-8.242321,1.544042,-4.144019
7.000000,2.616667,9.757921,-7.687746,1.837055,-3.353935
6.000000,2.616667,9.868818,-6.898120,2.119801,-2.562298
-1.000000,2.616667,3.874503,-7.227219,3.869197,-7.235771
8.000000,2.633333,9.123513,-8.242433,1.544042,-4.144019
7.000000,2.633333,9.757556,-7.687483,1.837055,-3.353935
