# id,ts,x,y,gx,gy
3.000000,0.600000,2.971734,-7.763384,7.656565,-0.928506
4.000000,0.600000,6.926705,-1.209579,2.205419,-7.516832
-1.000000,0.600000,1.991442,-2.462209,6.273012,-4.877357
3.000000,0.616667,2.971591,-7.763289,7.656565,-0.928506
4.000000,0.616667,6.926701,-1.209628,2.205419,-7.516832
-1.000000,0.616667,1.991446,-2.462204,6.273012,-4.877357
3.000000,0.633333,2.971444,-7.763191,7.656565,-0.928506
4.000000,0.633333,6.926697,-1.209678,2.205419,-7.516832
-1.000000,0.633333,1.991449,-2.462199,6.273012,-4.877357
3.000000,0.650000,2.971291,-7.763089,7.656565,-0.928506
4.000000,0.650000,6.926692,-1.209730,2.205419,-7.516832
-1.000000,0.650000,1.991453,-2.462194,6.273012,-4.877357
3.000000,0.666667,2.971133,-7.762983,7.656565,-0.928506
4.000000,0.666667,6.926687,-1.209783,2.205419,-7.516832
-1.000000,0.666667,1.991456,-2.462189,6.273012,-4.877357
3.000000,0.683333,2.970971,-7.762874,7.656565,-0.928506
4.000000,0.683333,6.926681,-1.209837,2.205419,-7.516832
-1.000000,0.683333,1.991460,-2.462183,6.273012,-4.877357
3.000000,0.700000,2.970804,-7.762761,7.656565,-0.928506
4.000000,0.700000,6.926674,-1.209893,2.205419,-7.516832
-1.000000,0.700000,1.991464,-2.462177,6.273012,-4.877357
3.000000,0.716667,2.970633,-7.762645,7.656565,-0.928506
4.000000,0.716667,6.926667,-1.209949,2.205419,-7.516832
-1.000000,0.716667,1.991469,-2.462170,6.273012,-4.877357
3.000000,0.733333,2.970457,-7.762525,7.656565,-0.928506
4.000000,0.733333,6.926658,-1.210007,2.205419,-7.516832
-1.000000,0.733333,1.991473,-2.462163,6.273012,-4.877357
3.000000,0.750000,2.970276,-7.762402,7.656565,-0.928506
4.000000,0.750000,6.926649,-1.210066,2.205419,-7.516832
-1.000000,0.750000,1.991478,-2.462156,6.273012,-4.877357
3.000000,0.766667,2.970092,-7.762277,7.656565,-0.928506
4.000000,0.766667,6.926638,-1.210126,2.205419,-7.516832
-1.000000,0.766667,1.991483,-2.462148,6.273012,-4.877357
3.000000,0.783333,2.969902,-7.762148,7.656565,-0.928506
4.000000,0.783333,6.926626,-1.210187,2.205419,-7.516832
-1.000000,0.783333,1.991488,-2.462141,6.273012,-4.877357
3.000000,0.800000,2.969709,-7.762016,7.656565,-0.928506
4.000000,0.800000,6.926613,-1.210250,2.205419,-7.516832
-1.000000,0.800000,1.991493,-2.462133,6.273012,-4.877357
3.000000,0.816667,2.969511,-7.761882,7.656565,-0.928506
4.000000,0.816667,6.926599,-1.210313,2.205419,-7.516832
-1.000000,0.816667,1.991498,-2.462125,6.273012,-4.877357
3.000000,0.833333,2.969309,-7.761745,7.656565,-0.928506
4.000000,0.833333,6.926583,-1.210377,2.205419,-7.516832
-1.000000,0.833333,1.991503,-2.462117,6.273012,-4.877357
3.000000,0.850000,2.969103,-7.761606,7.656565,-0.928506
4.000000,0.850000,6.926565,-1.210442,2.205419,-7.516832
-1.000000,0.850000,1.991508,-2.462108,6.273012,-4.877357
3.000000,0.866667,2.968893,-7.761464,7.656565,-0.928506
4.000000,0.866667,6.926547,-1.210508,2.205419,-7.516832
-1.000000,0.866667,1.991513,-2.462100,6.273012,-4.877357
3.000000,0.883333,2.968680,-7.761321,7.656565,-0.928506
4.000000,0.883333,6.926527,-1.210574,2.205419,-7.516832
-1.000000,0.883333,1.991518,-2.462092,6.273012,-4.877357
3.000000,0.900000,2.968463,-7.761175,7.656565,-0.928506
4.000000,0.900000,6.926506,-1.210640,2.205419,-7.516832
-1.000000,0.900000,1.991523,-2.462083,6.273012,-4.877357
3.000000,0.916667,2.968243,-7.761028,7.656565,-0.928506
4.000000,0.916667,6.926484,-1.210706,2.205419,-7.516832
-1.000000,0.916667,1.991529,-2.462075,6.273012,-4.877357
3.000000,0.933333,2.968019,-7.760879,7.656565,-0.928506
4.000000,0.933333,6.926461,-1.210772,2.205419,-7.516832
-1.000000,0.933333,1.991534,-2.462067,6.273012,-4.877357
3.000000,0.950000,2.967793,-7.760729,7.656565,-0.928506
4.000000,0.950000,6.926437,-1.210838,2.205419,-7.516832
-1.000000,0.950000,1.991539,-2.462059,6.273012,-4.877357
3.000000,0.966667,2.967565,-7.760577,7.656565,-0.928506
4.000000,0.966667,6.926412,-1.210904,2.205419,-7.516832
-1.000000,0.966667,1.991544,-2.462051,6.273012,-4.877357
3.000000,0.983333,2.967334,-7.760424,7.656565,-0.928506
4.000000,0.983333,6.926386,-1.210968,2.205419,-7.516832
-1.000000,0.983333,1.991549,-2.462043,6.273012,-4.877357
3.000000,1.000000,2.967101,-7.760269,7.656565,-0.928506
4.000000,1.000000,6.926360,-1.211032,2.205419,-7.516832
-1.000000,1.000000,1.991553,-2.462035,6.273012,-4.877357
3.000000,1.016667,2.966867,-7.760112,7.656565,-0.928506
4.000000,1.016667,6.926333,-1.211094,2.205419,-7.516832
-1.000000,1.016667,1.991558,-2.462027,6.273012,-4.877357
3.000000,1.033333,2.966631,-7.759954,7.656565,-0.928506
4.000000,1.033333,6.926306,-1.211155,2.205419,-7.516832
-1.000000,1.033333,1.991563,-2.462019,6.273012,-4.877357
3.000000,1.050000,2.966394,-7.759794,7.656565,-0.928506
4.000000,1.050000,6.926279,-1.211214,2.205419,-7.516832
-1.000000,1.050000,1.991568,-2.462011,6.273012,-4.877357
3.000000,1.066667,2.966156,-7.759633,7.656565,-0.928506
4.000000,1.066667,6.926250,-1.211271,2.205419,-7.516832
-1.000000,1.066667,1.991573,-2.462004,6.273012,-4.877357
3.000000,1.083333,2.965918,-7.759469,7.656565,-0.928506
4.000000,1.083333,6.926221,-1.211326,2.205419,-7.516832
-1.000000,1.083333,1.991577,-2.461997,6.273012,-4.877357
3.000000,1.100000,2.965681,-7.759304,7.656565,-0.928506
4.000000,1.100000,6.926191,-1.211378,2.205419,-7.516832
-1.000000,1.100000,1.991582,-2.461989,6.273012,-4.877357
3.000000,1.116667,2.965443,-7.759136,7.656565,-0.928506
4.000000,1.116667,6.926160,-1.211428,2.205419,-7.516832
-1.000000,1.116667,1.991587,-2.461982,6.273012,-4.877357
3.000000,1.133333,2.965207,-7.758966,7.656565,-0.928506
4.000000,1.133333,6.926128,-1.211474,2.205419,-7.516832
-1.000000,1.133333,1.991591,-2.461975,6.273012,-4.877357
3.000000,1.150000,2.964971,-7.758793,7.656565,-0.928506
4.000000,1.150000,6.926094,-1.211517,2.205419,-7.516832
-1.000000,1.150000,1.991596,-2.461968,6.273012,-4.877357
3.000000,1.166667,2.964737,-7.758618,7.656565,-0.928506
4.000000,1.166667,6.926058,-1.211557,2.205419,-7.516832
-1.000000,1.166667,1.991600,-2.461961,6.273012,-4.877357
3.000000,1.183333,2.964504,-7.758440,7.656565,-0.928506
4.000000,1.183333,6.926021,-1.211593,2.205419,-7.516832
-1.000000,1.183333,1.991605,-2.461954,6.273012,-4.877357
3.000000,1.200000,2.964274,-7.758259,7.656565,-0.928506
4.000000,1.200000,6.925981,-1.211625,2.205419,-7.516832
-1.000000,1.200000,1.991609,-2.461947,6.273012,-4.877357
3.000000,1.216667,2.964046,-7.758076,7.656565,-0.928506
4.000000,1.216667,6.925939,-1.211653,2.205419,-7.516832
-1.000000,1.216667,1.991613,-2.461941,6.273012,-4.877357
3.000000,1.233333,2.963822,-7.757890,7.656565,-0.928506
4.000000,1.233333,6.925895,-1.211675,2.205419,-7.516832
-1.000000,1.233333,1.991617,-2.461934,6.273012,-4.877357
3.000000,1.250000,2.963600,-7.757702,7.656565,-0.928506
4.000000,1.250000,6.925848,-1.211692,2.205419,-7.516832
-1.000000,1.250000,1.991621,-2.461928,6.273012,-4.877357
3.000000,1.266667,2.963382,-7.757511,7.656565,-0.928506
4.000000,1.266667,6.925799,-1.211704,2.205419,-7.516832
-1.000000,1.266667,1.991625,-2.461921,6.273012,-4.877357
3.000000,1.283333,2.963167,-7.757317,7.656565,-0.928506
4.000000,1.283333,6.925746,-1.211709,2.205419,-7.516832
-1.000000,1.283333,1.991629,-2.461914,6.273012,-4.877357
3.000000,1.300000,2.962957,-7.757121,7.656565,-0.928506
4.000000,1.300000,6.925691,-1.211709,2.205419,-7.516832
-1.000000,1.300000,1.991633,-2.461908,6.273012,-4.877357
3.000000,1.316667,2.962751,-7.756921,7.656565,-0.928506
4.000000,1.316667,6.925632,-1.211702,2.205419,-7.516832
-1.000000,1.316667,1.991637,-2.461901,6.273012,-4.877357
3.000000,1.333333,2.962550,-7.756720,7.656565,-0.928506
