# id,ts,x,y,gx,gy
3.000000,1.116667,6.768649,-6.905625,0.110490,-3.503742
4.000000,1.116667,7.458490,-6.504203,0.507426,-3.066679
5.000000,1.116667,7.686095,-5.728853,1.330172,-2.198673
-1.000000,1.116667,1.655329,-5.761524,4.133074,-2.435144
3.000000,1.133333,6.768594,-6.905604,0.110490,-3.503742
4.000000,1.133333,7.458447,-6.504298,0.507426,-3.066679
5.000000,1.133333,7.686253,-5.728796,1.330172,-2.198673
-1.000000,1.133333,1.655332,-5.761523,4.133074,-2.435144
3.000000,1.150000,6.768538,-6.905583,0.110490,-3.503742
4.000000,1.150000,7.458403,-6.504394,0.507426,-3.066679
5.000000,1.150000,7.686417,-5.728737,1.330172,-2.198673
-1.000000,1.150000,1.655335,-5.761521,4.133074,-2.435144
3.000000,1.166667,6.768482,-6.905562,0.110490,-3.503742
4.000000,1.166667,7.458359,-6.504493,0.507426,-3.066679
5.000000,1.166667,7.686588,-5.728675,1.330172,-2.198673
-1.000000,1.166667,1.655337,-5.761520,4.133074,-2.435144
3.000000,1.183333,6.768425,-6.905541,0.110490,-3.503742
4.000000,1.183333,7.458314,-6.504595,0.507426,-3.066679
5.000000,1.183333,7.686768,-5.728609,1.330172,-2.198673
-1.000000,1.183333,1.655339,-5.761519,4.133074,-2.435144
3.000000,1.200000,6.768368,-6.905520,0.110490,-3.503742
4.000000,1.200000,7.458270,-6.504698,0.507426,-3.066679
5.000000,1.200000,7.686956,-5.728539,1.330172,-2.198673
-1.000000,1.200000,1.655341,-5.761518,4.133074,-2.435144
3.000000,1.216667,6.768310,-6.905498,0.110490,-3.503742
4.000000,1.216667,7.458225,-6.504803,0.507426,-3.066679
5.000000,1.216667,7.687155,-5.728464,1.330172,-2.198673
-1.000000,1.216667,1.655343,-5.761517,4.133074,-2.435144
3.000000,1.233333,6.768252,-6.905477,0.110490,-3.503742
4.000000,1.233333,7.458180,-6.504910,0.507426,-3.066679
5.000000,1.233333,7.687364,-5.728384,1.330172,-2.198673
-1.000000,1.233333,1.655345,-5.761516,4.133074,-2.435144
3.000000,1.250000,6.768194,-6.905455,0.110490,-3.503742
4.000000,1.250000,7.458136,-6.505020,0.507426,-3.066679
5.000000,1.250000,7.687586,-5.728298,1.330172,-2.198673
-1.000000,1.250000,1.655347,-5.761515,4.133074,-2.435144
3.000000,1.266667,6.768135,-6.905434,0.110490,-3.503742
4.000000,1.266667,7.458092,-6.505131,0.507426,-3.066679
5.000000,1.266667,7.687821,-5.728207,1.330172,-2.198673
-1.000000,1.266667,1.655349,-5.761514,4.133074,-2.435144
3.000000,1.283333,6.768075,-6.905412,0.110490,-3.503742
4.000000,1.283333,7.458048,-6.505244,0.507426,-3.066679
5.000000,1.283333,7.688069,-5.728109,1.330172,-2.198673
-1.000000,1.283333,1.655351,-5.761513,4.133074,-2.435144
3.000000,1.300000,6.768015,-6.905391,0.110490,-3.503742
4.000000,1.300000,7.458005,-6.505359,0.507426,-3.066679
5.000000,1.300000,7.688331,-5.728004,1.330172,-2.198673
-1.000000,1.300000,1.655353,-5.761512,4.133074,-2.435144
3.000000,1.316667,6.767954,-6.905369,0.110490,-3.503742
4.000000,1.316667,7.457963,-6.505476,0.507426,-3.066679
5.000000,1.316667,7.688608,-5.727892,1.330172,-2.198673
-1.000000,1.316667,1.655355,-5.761511,4.133074,-2.435144
3.000000,1.333333,6.767893,-6.905347,0.110490,-3.503742
4.000000,1.333333,7.457921,-6.505595,0.507426,-3.066679
5.000000,1.333333,7.688901,-5.727774,1.330172,-2.198673
