# id,ts,x,y,gx,gy
8.000000,0.150000,9.006214,-8.202461,1.444956,-4.038219
6.000000,0.150000,9.750861,-7.697583,1.738600,-3.140250
7.000000,0.150000,9.792801,-6.613015,2.230061,-2.545037
8.000000,0.166667,9.006223,-8.202450,1.444956,-4.038219
6.000000,0.166667,9.750870,-7.697610,1.738600,-3.140250
7.000000,0.166667,9.792887,-6.613183,2.230061,-2.545037
8.000000,0.183333,9.006233,-8.202438,1.444956,-4.038219
6.000000,0.183333,9.750882,-7.697642,1.738600,-3.140250
7.000000,0.183333,9.792992,-6.613392,2.230061,-2.545037
8.000000,0.200000,9.006247,-8.202423,1.444956,-4.038219
6.000000,0.200000,9.750896,-7.697680,1.738600,-3.140250
7.000000,0.200000,9.793115,-6.613646,2.230061,-2.545037
8.000000,0.216667,9.006263,-8.202405,1.444956,-4.038219
6.000000,0.216667,9.750912,-7.697724,1.738600,-3.140250
7.000000,0.216667,9.793259,-6.613949,2.230061,-2.545037
8.000000,0.233333,9.006282,-8.202386,1.444956,-4.038219
6.000000,0.233333,9.750931,-7.697774,1.738600,-3.140250
7.000000,0.233333,9.793422,-6.614304,2.230061,-2.545037
8.000000,0.250000,9.006305,-8.202365,1.444956,-4.038219
6.000000,0.250000,9.750952,-7.697832,1.738600,-3.140250
7.000000,0.250000,9.793606,-6.614715,2.230061,-2.545037
8.000000,0.266667,9.006330,-8.202341,1.444956,-4.038219
6.000000,0.266667,9.750977,-7.697897,1.738600,-3.140250
7.000000,0.266667,9.793811,-6.615186,2.230061,-2.545037
8.000000,0.283333,9.006360,-8.202316,1.444956,-4.038219
6.000000,0.283333,9.751004,-7.697971,1.738600,-3.140250
7.000000,0.283333,9.794036,-6.615719,2.230061,-2.545037
8.000000,0.300000,9.006392,-8.202288,1.444956,-4.038219
6.000000,0.300000,9.751035,-7.698053,1.738600,-3.140250
7.000000,0.300000,9.794281,-6.616318,2.230061,-2.545037
8.000000,0.316667,9.006429,-8.202258,1.444956,-4.038219
6.000000,0.316667,9.751069,-7.698145,1.738600,-3.140250
7.000000,0.316667,9.794545,-6.616985,2.230061,-2.545037
8.000000,0.333333,9.006469,-8.202225,1.444956,-4.038219
6.000000,0.333333,9.751107,-7.698248,1.738600,-3.140250
7.000000,0.333333,9.794827,-6.617723,2.230061,-2.545037
8.000000,0.350000,9.006513,-8.202191,1.444956,-4.038219
6.000000,0.350000,9.751149,-7.698361,1.738600,-3.140250
7.000000,0.350000,9.795127,-6.618534,2.230061,-2.545037
8.000000,0.366667,9.006560,-8.202153,1.444956,-4.038219
6.000000,0.366667,9.751194,-7.698485,1.738600,-3.140250
7.000000,0.366667,9.795442,-6.619421,2.230061,-2.545037
8.000000,0.383333,9.006611,-8.202113,1.444956,-4.038219
6.000000,0.383333,9.751243,-7.698622,1.738600,-3.140250
7.000000,0.383333,9.795772,-6.620385,2.230061,-2.545037
8.000000,0.400000,9.006665,-8.202071,1.444956,-4.038219
6.000000,0.400000,9.751295,-7.698772,1.738600,-3.140250
7.000000,0.400000,9.796115,-6.621427,2.230061,-2.545037
8.000000,0.416667,9.006723,-8.202025,1.444956,-4.038219
6.000000,0.416667,9.751351,-7.698935,1.738600,-3.140250
7.000000,0.416667,9.796469,-6.622550,2.230061,-2.545037
8.000000,0.433333,9.006785,-8.201976,1.444956,-4.038219
6.000000,0.433333,9.751411,-7.699111,1.738600,-3.140250
7.000000,0.433333,9.796832,-6.623755,2.230061,-2.545037
8.000000,0.450000,9.006850,-8.201924,1.444956,-4.038219
6.000000,0.450000,9.751474,-7.699301,1.738600,-3.140250
7.000000,0.450000,9.797204,-6.625041,2.230061,-2.545037
8.000000,0.466667,9.006919,-8.201870,1.444956,-4.038219
6.000000,0.466667,9.751542,-7.699505,1.738600,-3.140250
7.000000,0.466667,9.797581,-6.626411,2.230061,-2.545037
8.000000,0.483333,9.006992,-8.201812,1.444956,-4.038219
6.000000,0.483333,9.751615,-7.699723,1.738600,-3.140250
7.000000,0.483333,9.797961,-6.627864,2.230061,-2.545037
8.000000,0.500000,9.007068,-8.201751,1.444956,-4.038219
6.000000,0.500000,9.751691,-7.699954,1.738600,-3.140250
7.000000,0.500000,9.798344,-6.629400,2.230061,-2.545037
8.000000,0.516667,9.007148,-8.201687,1.444956,-4.038219
6.000000,0.516667,9.751773,-7.700198,1.738600,-3.140250
7.000000,0.516667,9.798726,-6.631021,2.230061,-2.545037
8.000000,0.533333,9.007232,-8.201621,1.444956,-4.038219
6.000000,0.533333,9.751859,-7.700454,1.738600,-3.140250
7.000000,0.533333,9.799106,-6.632725,2.230061,-2.545037
8.000000,0.550000,9.007319,-8.201552,1.444956,-4.038219
6.000000,0.550000,9.751951,-7.700723,1.738600,-3.140250
7.000000,0.550000,9.799482,-6.634512,2.230061,-2.545037
8.000000,0.566667,9.007409,-8.201481,1.444956,-4.038219
6.000000,0.566667,9.752047,-7.701003,1.738600,-3.140250
7.000000,0.566667,9.799852,-6.636383,2.230061,-2.545037
8.000000,0.583333,9.007503,-8.201407,1.444956,-4.038219
6.000000,0.583333,9.752148,-7.701293,1.738600,-3.140250
7.000000,0.583333,9.800215,-6.638336,2.230061,-2.545037
8.000000,0.600000,9.007601,-8.201331,1.444956,-4.038219
6.000000,0.600000,9.752254,-7.701593,1.738600,-3.140250
7.000000,0.600000,9.800569,-6.640369,2.230061,-2.545037
8.000000,0.616667,9.007701,-8.201253,1.444956,-4.038219
6.000000,0.616667,9.752365,-7.701903,1.738600,-3.140250
7.000000,0.616667,9.800911,-6.642483,2.230061,-2.545037
8.000000,0.633333,9.007804,-8.201172,1.444956,-4.038219
6.000000,0.633333,9.752481,-7.702220,1.738600,-3.140250
7.000000,0.633333,9.801242,-6.644676,2.230061,-2.545037
8.000000,0.650000,9.007911,-8.201089,1.444956,-4.038219
6.000000,0.650000,9.752601,-7.702544,1.738600,-3.140250
7.000000,0.650000,9.801559,-6.646946,2.230061,-2.545037
8.000000,0.666667,9.008020,-8.201005,1.444956,-4.038219
6.000000,0.666667,9.752726,-7.702875,1.738600,-3.140250
7.000000,0.666667,9.801861,-6.649291,2.230061,-2.545037
8.000000,0.683333,9.008131,-8.200919,1.444956,-4.038219
6.000000,0.683333,9.752854,-7.703211,1.738600,-3.140250
7.000000,0.683333,9.802146,-6.651709,2.230061,-2.545037
