# id,ts,x,y,gx,gy
6.000000,0.683333,3.081363,-3.238216,1.581862,5.348992
7.000000,0.683333,0.813564,4.627177,1.950451,-3.717330
6.000000,0.700000,3.081404,-3.238081,1.581862,5.348992
7.000000,0.700000,0.813502,4.627019,1.950451,-3.717330
6.000000,0.716667,3.081449,-3.237945,1.581862,5.348992
7.000000,0.716667,0.813440,4.626856,1.950451,-3.717330
6.000000,0.733333,3.081499,-3.237806,1.581862,5.348992
7.000000,0.733333,0.813377,4.626688,1.950451,-3.717330
6.000000,0.750000,3.081552,-3.237665,1.581862,5.348992
7.000000,0.750000,0.813313,4.626517,1.950451,-3.717330
6.000000,0.766667,3.081610,-3.237522,1.581862,5.348992
7.000000,0.766667,0.813250,4.626342,1.950451,-3.717330
6.000000,0.783333,3.081672,-3.237376,1.581862,5.348992
7.000000,0.783333,0.813186,4.626162,1.950451,-3.717330
6.000000,0.800000,3.081738,-3.237229,1.581862,5.348992
7.000000,0.800000,0.813123,4.625979,1.950451,-3.717330
6.000000,0.816667,3.081809,-3.237080,1.581862,5.348992
7.000000,0.816667,0.813059,4.625793,1.950451,-3.717330
6.000000,0.833333,3.081883,-3.236928,1.581862,5.348992
7.000000,0.833333,0.812995,4.625603,1.950451,-3.717330
6.000000,0.850000,3.081963,-3.236775,1.581862,5.348992
7.000000,0.850000,0.812932,4.625410,1.950451,-3.717330
6.000000,0.866667,3.082046,-3.236619,1.581862,5.348992
7.000000,0.866667,0.812869,4.625215,1.950451,-3.717330
6.000000,0.883333,3.082133,-3.236461,1.581862,5.348992
7.000000,0.883333,0.812806,4.625016,1.950451,-3.717330
6.000000,0.900000,3.082224,-3.236301,1.581862,5.348992
7.000000,0.900000,0.812745,4.624815,1.950451,-3.717330
6.000000,0.916667,3.082318,-3.236138,1.581862,5.348992
7.000000,0.916667,0.812685,4.624612,1.950451,-3.717330
6.000000,0.933333,3.082417,-3.235973,1.581862,5.348992
7.000000,0.933333,0.812627,4.624407,1.950451,-3.717330
6.000000,0.950000,3.082518,-3.235805,1.581862,5.348992
7.000000,0.950000,0.812570,4.624199,1.950451,-3.717330
6.000000,0.966667,3.082623,-3.235635,1.581862,5.348992
7.000000,0.966667,0.812515,4.623990,1.950451,-3.717330
6.000000,0.983333,3.082731,-3.235462,1.581862,5.348992
7.000000,0.983333,0.812462,4.623779,1.950451,-3.717330
6.000000,1.000000,3.082841,-3.235287,1.581862,5.348992
7.000000,1.000000,0.812411,4.623567,1.950451,-3.717330
6.000000,1.016667,3.082955,-3.235110,1.581862,5.348992
7.000000,1.016667,0.812363,4.623352,1.950451,-3.717330
6.000000,1.033333,3.083071,-3.234930,1.581862,5.348992
7.000000,1.033333,0.812317,4.623136,1.950451,-3.717330
6.000000,1.050000,3.083190,-3.234748,1.581862,5.348992
7.000000,1.050000,0.812273,4.622918,1.950451,-3.717330
6.000000,1.066667,3.083311,-3.234563,1.581862,5.348992
7.000000,1.066667,0.812233,4.622698,1.950451,-3.717330
6.000000,1.083333,3.083434,-3.234376,1.581862,5.348992
7.000000,1.083333,0.812195,4.622477,1.950451,-3.717330
6.000000,1.100000,3.083559,-3.234186,1.581862,5.348992
7.000000,1.100000,0.812160,4.622253,1.950451,-3.717330
6.000000,1.116667,3.083687,-3.233994,1.581862,5.348992
7.000000,1.116667,0.812128,4.622027,1.950451,-3.717330
6.000000,1.133333,3.083816,-3.233799,1.581862,5.348992
7.000000,1.133333,0.812100,4.621800,1.950451,-3.717330
6.000000,1.150000,3.083948,-3.233602,1.581862,5.348992
7.000000,1.150000,0.812074,4.621570,1.950451,-3.717330
6.000000,1.166667,3.084081,-3.233402,1.581862,5.348992
7.000000,1.166667,0.812052,4.621338,1.950451,-3.717330
6.000000,1.183333,3.084216,-3.233200,1.581862,5.348992
