# id,ts,x,y,gx,gy
8.000000,1.500000,5.672673,0.743334,-3.327610,-0.394015
-1.000000,1.500000,3.196119,0.542028,-2.015378,0.197505
8.000000,1.516667,5.672533,0.743425,-3.327610,-0.394015
-1.000000,1.516667,3.196119,0.542027,-2.015378,0.197505
8.000000,1.533333,5.672388,0.743515,-3.327610,-0.394015
-1.000000,1.533333,3.196119,0.542026,-2.015378,0.197505
8.000000,1.550000,5.672238,0.743605,-3.327610,-0.394015
-1.000000,1.550000,3.196119,0.542025,-2.015378,0.197505
8.000000,1.566667,5.672083,0.743695,-3.327610,-0.394015
-1.000000,1.566667,3.196119,0.542024,-2.015378,0.197505
8.000000,1.583333,5.671922,0.743785,-3.327610,-0.394015
-1.000000,1.583333,3.196119,0.542023,-2.015378,0.197505
8.000000,1.600000,5.671755,0.743874,-3.327610,-0.394015
-1.000000,1.600000,3.196120,0.542021,-2.015378,0.197505
8.000000,1.616667,5.671583,0.743963,-3.327610,-0.394015
-1.000000,1.616667,3.196121,0.542019,-2.015378,0.197505
8.000000,1.633333,5.671404,0.744050,-3.327610,-0.394015
-1.000000,1.633333,3.196121,0.542018,-2.015378,0.197505
8.000000,1.650000,5.671219,0.744137,-3.327610,-0.394015
-1.000000,1.650000,3.196122,0.542016,-2.015378,0.197505
8.000000,1.666667,5.671027,0.744223,-3.327610,-0.394015
-1.000000,1.666667,3.196123,0.542015,-2.015378,0.197505
8.000000,1.683333,5.670828,0.744307,-3.327610,-0.394015
-1.000000,1.683333,3.196123,0.542013,-2.015378,0.197505
8.000000,1.700000,5.670622,0.744391,-3.327610,-0.394015
-1.000000,1.700000,3.196124,0.542011,-2.015378,0.197505
8.000000,1.716667,5.670408,0.744474,-3.327610,-0.394015
-1.000000,1.716667,3.196124,0.542010,-2.015378,0.197505
8.000000,1.733333,5.670186,0.744555,-3.327610,-0.394015
-1.000000,1.733333,3.196124,0.542009,-2.015378,0.197505
8.000000,1.750000,5.669956,0.744635,-3.327610,-0.394015
-1.000000,1.750000,3.196124,0.542007,-2.015378,0.197505
8.000000,1.766667,5.669718,0.744714,-3.327610,-0.394015
-1.000000,1.766667,3.196124,0.542006,-2.015378,0.197505
8.000000,1.783333,5.669471,0.744791,-3.327610,-0.394015
-1.000000,1.783333,3.196123,0.542006,-2.015378,0.197505
8.000000,1.800000,5.669215,0.744866,-3.327610,-0.394015
-1.000000,1.800000,3.196123,0.542005,-2.015378,0.197505
8.000000,1.816667,5.668950,0.744940,-3.327610,-0.394015
-1.000000,1.816667,3.196122,0.542004,-2.015378,0.197505
8.000000,1.833333,5.668674,0.745012,-3.327610,-0.394015
-1.000000,1.833333,3.196122,0.542004,-2.015378,0.197505
8.000000,1.850000,5.668389,0.745083,-3.327610,-0.394015
-1.000000,1.850000,3.196121,0.542003,-2.015378,0.197505
8.000000,1.866667,5.668093,0.745151,-3.327610,-0.394015
-1.000000,1.866667,3.196121,0.542002,-2.015378,0.197505
8.000000,1.883333,5.667787,0.745217,-3.327610,-0.394015
-1.000000,1.883333,3.196121,0.542001,-2.015378,0.197505
8.000000,1.900000,5.667469,0.745282,-3.327610,-0.394015
-1.000000,1.900000,3.196121,0.542001,-2.015378,0.197505
8.000000,1.916667,5.667139,0.745345,-3.327610,-0.394015
-1.000000,1.916667,3.196121,0.542000,-2.015378,0.197505
8.000000,1.933333,5.666798,0.745406,-3.327610,-0.394015
-1.000000,1.933333,3.196121,0.541998,-2.015378,0.197505
8.000000,1.950000,5.666443,0.745464,-3.327610,-0.394015
-1.000000,1.950000,3.196122,0.541997,-2.015378,0.197505
8.000000,1.966667,5.666076,0.745521,-3.327610,-0.394015
-1.000000,1.966667,3.196122,0.541996,-2.015378,0.197505
8.000000,1.983333,5.665696,0.745576,-3.327610,-0.394015
-1.000000,1.983333,3.196123,0.541994,-2.015378,0.197505
8.000000,2.000000,5.665302,0.745629,-3.327610,-0.394015
-1.000000,2.000000,3.196123,0.541993,-2.015378,0.197505
8.000000,2.016667,5.664894,0.745679,-3.327610,-0.394015
-1.000000,2.016667,3.196123,0.541992,-2.015378,0.197505
8.000000,2.033333,5.664471,0.745728,-3.327610,-0.394015
-1.000000,2.033333,3.196124,0.541991,-2.015378,0.197505
8.000000,2.050000,5.664033,0.745775,-3.327610,-0.394015
-1.000000,2.050000,3.196124,0.541989,-2.015378,0.197505
8.000000,2.066667,5.663580,0.745820,-3.327610,-0.394015
-1.000000,2.066667,3.196125,0.541988,-2.015378,0.197505
8.000000,2.083333,5.663110,0.745863,-3.327610,-0.394015
-1.000000,2.083333,3.196126,0.541987,-2.015378,0.197505
8.000000,2.100000,5.662623,0.745905,-3.327610,-0.394015
-1.000000,2.100000,3.196126,0.541985,-2.015378,0.197505
8.000000,2.116667,5.662119,0.745945,-3.327610,-0.394015
-1.000000,2.116667,3.196126,0.541984,-2.015378,0.197505
8.000000,2.133333,5.661597,0.745984,-3.327610,-0.394015
-1.000000,2.133333,3.196127,0.541983,-2.015378,0.197505
