# id,ts,x,y,gx,gy
8.000000,0.316667,5.962712,0.638045,-2.778573,-0.743652
7.000000,0.316667,5.621071,1.527107,-3.282402,0.280530
6.000000,0.316667,5.794195,-0.159352,-2.954199,-1.676584
-1.000000,0.316667,0.941505,-2.555914,-0.006851,3.201855
8.000000,0.333333,5.962704,0.638049,-2.778573,-0.743652
7.000000,0.333333,5.621072,1.527127,-3.282402,0.280530
6.000000,0.333333,5.794048,-0.159450,-2.954199,-1.676584
-1.000000,0.333333,0.941504,-2.555914,-0.006851,3.201855
8.000000,0.350000,5.962696,0.638053,-2.778573,-0.743652
7.000000,0.350000,5.621071,1.527149,-3.282402,0.280530
6.000000,0.350000,5.793888,-0.159554,-2.954199,-1.676584
-1.000000,0.350000,0.941503,-2.555914,-0.006851,3.201855
8.000000,0.366667,5.962687,0.638058,-2.778573,-0.743652
7.000000,0.366667,5.621071,1.527172,-3.282402,0.280530
6.000000,0.366667,5.793713,-0.159665,-2.954199,-1.676584
-1.000000,0.366667,0.941503,-2.555914,-0.006851,3.201855
8.000000,0.383333,5.962677,0.638063,-2.778573,-0.743652
7.000000,0.383333,5.621069,1.527195,-3.282402,0.280530
6.000000,0.383333,5.793524,-0.159782,-2.954199,-1.676584
-1.000000,0.383333,0.941502,-2.555914,-0.006851,3.201855
8.000000,0.400000,5.962667,0.638067,-2.778573,-0.743652
7.000000,0.400000,5.621068,1.527220,-3.282402,0.280530
6.000000,0.400000,5.793322,-0.159905,-2.954199,-1.676584
-1.000000,0.400000,0.941502,-2.555914,-0.006851,3.201855
8.000000,0.416667,5.962655,0.638072,-2.778573,-0.743652
7.000000,0.416667,5.621065,1.527246,-3.282402,0.280530
6.000000,0.416667,5.793107,-0.160033,-2.954199,-1.676584
-1.000000,0.416667,0.941501,-2.555913,-0.006851,3.201855
8.000000,0.433333,5.962642,0.638076,-2.778573,-0.743652
7.000000,0.433333,5.621063,1.527273,-3.282402,0.280530
6.000000,0.433333,5.792880,-0.160168,-2.954199,-1.676584
-1.000000,0.433333,0.941500,-2.555913,-0.006851,3.201855
8.000000,0.450000,5.962628,0.638080,-2.778573,-0.743652
7.000000,0.450000,5.621059,1.527301,-3.282402,0.280530
6.000000,0.450000,5.792642,-0.160307,-2.954199,-1.676584
-1.000000,0.450000,0.941500,-2.555913,-0.006851,3.201855
8.000000,0.466667,5.962613,0.638084,-2.778573,-0.743652
7.000000,0.466667,5.621055,1.527330,-3.282402,0.280530
6.000000,0.466667,5.792393,-0.160452,-2.954199,-1.676584
-1.000000,0.466667,0.941499,-2.555912,-0.006851,3.201855
8.000000,0.483333,5.962596,0.638087,-2.778573,-0.743652
7.000000,0.483333,5.621050,1.527359,-3.282402,0.280530
6.000000,0.483333,5.792134,-0.160602,-2.954199,-1.676584
-1.000000,0.483333,0.941498,-2.555911,-0.006851,3.201855
8.000000,0.500000,5.962577,0.638090,-2.778573,-0.743652
7.000000,0.500000,5.621044,1.527390,-3.282402,0.280530
6.000000,0.500000,5.791866,-0.160756,-2.954199,-1.676584
-1.000000,0.500000,0.941497,-2.555911,-0.006851,3.201855
8.000000,0.516667,5.962558,0.638092,-2.778573,-0.743652
